"","model","response","effect","2.5%","50%","97.5%","WAIC","sample"
"1","Phylogenetic+Spatial: local","fusion","phylogenetic SD",1.51,1.73,2,1821.88,"entire"
"2","Phylogenetic+Spatial: local","fusion","spatial SD",0.28,0.34,0.41,1821.88,"entire"
"3","Phylogenetic+Spatial: local","fusion","Intercept",-0.02,0,0.02,1821.88,"entire"
"4","Phylogenetic","fusion","phylogenetic SD",1.99,2.19,2.42,1941.21,"entire"
"5","Phylogenetic","fusion","Intercept",-0.03,0,0.03,1941.21,"entire"
"6","Phylogenetic+Areal","fusion","phylogenetic SD",1.79,2.01,2.26,2015.61,"entire"
"7","Phylogenetic+Areal","fusion","areal SD",0.09,0.16,0.28,2015.61,"entire"
"8","Phylogenetic+Areal","fusion","Intercept",-0.06,0.03,0.13,2015.61,"entire"
"9","Phylogenetic+Spatial: regional","fusion","phylogenetic SD",1.23,1.47,1.75,2056.58,"entire"
"10","Phylogenetic+Spatial: regional","fusion","spatial SD",0.47,0.61,0.79,2056.58,"entire"
"11","Phylogenetic+Spatial: regional","fusion","Intercept",-0.03,0,0.03,2056.58,"entire"
"12","Spatial: local","fusion","spatial SD",0.74,0.8,0.85,2259.25,"entire"
"13","Spatial: local","fusion","Intercept",-0.02,0,0.03,2259.25,"entire"
"14","Spatial: regional","fusion","spatial SD",0.87,1.03,1.21,2423.66,"entire"
"15","Spatial: regional","fusion","Intercept",-0.03,0,0.03,2423.66,"entire"
"16","Areal","fusion","areal SD",0.44,0.58,0.8,2866.67,"entire"
"17","Areal","fusion","Intercept",0.08,0.32,0.55,2866.67,"entire"
"18","Phylogenetic+Spatial: local+L1 speakers (linear)","fusion","phylogenetic SD",1.53,1.75,2.02,1796.34,"entire"
"19","Phylogenetic+Spatial: local+L1 speakers (linear)","fusion","spatial SD",0.28,0.34,0.41,1796.34,"entire"
"20","Phylogenetic+Spatial: local+L1 speakers (linear)","fusion","Intercept",-0.02,0,0.02,1796.34,"entire"
"21","Phylogenetic+Spatial: local+L1 speakers (linear)","fusion","L1",0.03,0.07,0.12,1796.34,"entire"
"22","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","fusion","phylogenetic SD",1.53,1.75,2.02,1797.2,"entire"
"23","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","fusion","spatial SD",0.28,0.34,0.41,1797.2,"entire"
"24","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","fusion","Intercept",-0.02,0,0.03,1797.2,"entire"
"25","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","fusion","social SD:
L1",0,0.01,0.03,1797.2,"entire"
"26","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity","fusion","phylogenetic SD",1.53,1.75,2.02,1798.71,"entire"
"27","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity","fusion","spatial SD",0.27,0.34,0.4,1798.71,"entire"
"28","Phylogenetic+Spatial: local+L1 speakers (linear)+Vehicularity","fusion","Intercept",-0.04,-0.01,0.02,1798.71,"entire"
