"","model","x for AUTOTYP_area","y for AUTOTYP_area"
"1","Phylogenetic",NA,NA
"2","Spatial: local",NA,NA
"3","Spatial: regional",NA,NA
"4","Areal",0.761816985972337,0.000176400674920771
"5","Areal",0.907297401300979,0.00133458973698443
"6","Areal",1.1093443505143,0.00945978330895408
"7","Areal",1.41556079910109,0.0598024779938471
"8","Areal",1.59021174471665,0.117475061228826
"9","Areal",1.75860850147093,0.189337290286569
"10","Areal",1.97252311948274,0.289132175183588
"11","Areal",2.13196639570474,0.357936841787234
"12","Areal",2.26735016901929,0.406460462358106
"13","Areal",2.38866658326526,0.439713883308448
"14","Areal",2.5017365232871,0.461113910610513
"15","Areal",2.61227008270428,0.4730281440377
"16","Areal",2.66713450193774,0.475745770711115
"17","Areal",2.72189515727161,0.476461635860172
"18","Areal",2.7766700848109,0.475325574612051
"19","Areal",2.83157327615026,0.472473164755005
"20","Areal",2.85359528931529,0.470868029299615
"21","Areal",2.87566241167516,0.469001248892316
"22","Areal",2.88671502197066,0.46797054796487
"23","Areal",2.89778145851446,0.466875424780289
"24","Areal",2.91995915790805,0.464493333188603
"25","Areal",2.94220214864394,0.461857932449728
"26","Areal",2.96451697618443,0.458972371187931
"27","Areal",2.98691008630787,0.455839997610361
"28","Areal",2.99813798221285,0.454182359642102
"29","Areal",3.00938840194533,0.452464279024723
"30","Areal",3.03205460454233,0.44883305126563
"31","Areal",3.05499130948113,0.444934162469499
"32","Areal",3.11362143359732,0.434000985154292
"33","Areal",3.17431026734793,0.421346640549399
"34","Areal",3.23736339401901,0.406940873549321
"35","Areal",3.30313324132344,0.390770887040541
"36","Areal",3.44454015868376,0.353398974149221
"37","Areal",3.6028218152547,0.309876694485436
"38","Areal",3.78477142376592,0.260809441955633
"39","Areal",4.00737146552414,0.205779262488454
"40","Areal",4.30653467419955,0.144264681044749
"41","Areal",4.79135069018114,0.0758977539701523
"42","Areal",5.24938681481336,0.0392396953241277
"43","Areal",5.8439424952443,0.0158743041832454
"44","Areal",7.29243155258324,0.00157445310141689
"45","Areal",8.74533444142646,0.000151385707680207
"46","Areal",10.2340716443466,1.44291937228715e-05
"47","Phylogenetic+Spatial: local",NA,NA
"48","Phylogenetic+Spatial: regional",NA,NA
"49","Phylogenetic+Areal",3.31588769314924,2.25600465468433e-05
"50","Phylogenetic+Areal",4.5243189465168,0.000149036802150706
"51","Phylogenetic+Areal",6.47327121822864,0.00090458222477596
"52","Phylogenetic+Areal",10.0023928377602,0.00472398356809983
"53","Phylogenetic+Areal",12.3398549358769,0.008494372083343
"54","Phylogenetic+Areal",14.7639441072889,0.0125755414855267
"55","Phylogenetic+Areal",18.1676332775108,0.0174722077421848
"56","Phylogenetic+Areal",20.9112625984552,0.0202331612878892
"57","Phylogenetic+Areal",23.3691849732697,0.0217512918856497
"58","Phylogenetic+Areal",25.6914992207068,0.0224430361201223
"59","Phylogenetic+Areal",27.9945985091572,0.0225380235060613
"60","Phylogenetic+Areal",30.3349121881548,0.0221621770627112
"61","Phylogenetic+Areal",31.5263907627877,0.0218279245232567
"62","Phylogenetic+Areal",32.7361043954102,0.0214099466373357
"63","Phylogenetic+Areal",33.967158060611,0.0209177274742247
"64","Phylogenetic+Areal",35.2227615400256,0.0203604516954971
"65","Phylogenetic+Areal",35.7326209292771,0.0201212470356346
"66","Phylogenetic+Areal",36.2471627771858,0.0198735047270788
"67","Phylogenetic+Areal",36.5062599718273,0.0197465861881739
"68","Phylogenetic+Areal",36.766612800108,0.0196177162397479
"69","Phylogenetic+Areal",37.2912016115103,0.019354356694591
"70","Phylogenetic+Areal",37.8216409393217,0.0190836410962086
"71","Phylogenetic+Areal",38.3612000422783,0.0188044288311397
"72","Phylogenetic+Areal",38.9107988105381,0.0185167426318656
"73","Phylogenetic+Areal",39.1894982292377,0.0183698097869999
"74","Phylogenetic+Areal",39.4708728965616,0.01822086425377
"75","Phylogenetic+Areal",40.0418835822588,0.0179170772641083
"76","Phylogenetic+Areal",40.6243195433637,0.0176056672544885
"77","Phylogenetic+Areal",42.1338725120661,0.0167956869821069
"78","Phylogenetic+Areal",43.7271614258919,0.0159444419193211
"79","Phylogenetic+Areal",45.4146752885783,0.0150564537557467
"80","Phylogenetic+Areal",47.2087004854631,0.0141360841957546
"81","Phylogenetic+Areal",51.1768731080376,0.0122172476494104
"82","Phylogenetic+Areal",55.7837533518557,0.0102313210767909
"83","Phylogenetic+Areal",61.3850191166678,0.00818586923794793
"84","Phylogenetic+Areal",68.6980258031725,0.00607907277890045
"85","Phylogenetic+Areal",79.2199326292902,0.00394933391900618
"86","Phylogenetic+Areal",97.7274418385179,0.00187203663121849
"87","Phylogenetic+Areal",117.281675719032,0.000879035480853509
"88","Phylogenetic+Areal",145.090359311725,0.000320770938435127
"89","Phylogenetic+Areal",225.775448811454,2.55595324159094e-05
"90","Phylogenetic+Areal",325.021136486338,2.0451437787157e-06
"91","Phylogenetic+Areal",445.966664243281,1.6519300128376e-07
